"","entrez_id","HGNC.ID"
"200",54751,"HGNC:24686"
"201",23013,"HGNC:17575"
"202",7709,"HGNC:12936"
"203",149563,"HGNC:28339"
"204",27129,"HGNC:5249"
"205",1187,"HGNC:2026"
"206",1188,"HGNC:2027"
"207",348487,"HGNC:26717"
"208",1969,"HGNC:3386"
"209",128272,"HGNC:26604"
"210",79363,"HGNC:28127"
"211",54455,"HGNC:29249"
"212",26099,"HGNC:30232"
"213",374955,"HGNC:28026"
"214",55707,"HGNC:25528"
"215",55672,"HGNC:26088"
"216",9696,"HGNC:21299"
"217",4237,"HGNC:7033"
"218",23400,"HGNC:30213"
"219",6390,"HGNC:10681"
"220",11240,"HGNC:18341"
"221",29943,"HGNC:18367"
"222",51702,"HGNC:18337"
"223",23569,"HGNC:18368"
"224",353238,"HGNC:20449"
"225",55920,"HGNC:30297"
"226",55160,"HGNC:25540"
"227",81569,"HGNC:24018"
"228",84966,"HGNC:28246"
"229",127707,"HGNC:26791"
"230",5081,"HGNC:8621"
"231",80834,"HGNC:14905"
"232",8659,"HGNC:406"
"233",126917,"HGNC:27006"
"234",23352,"HGNC:30313"
"235",23065,"HGNC:28957"
"236",51154,"HGNC:18477"
"237",246181,"HGNC:24056"
"238",22977,"HGNC:390"
"239",8574,"HGNC:389"
"240",54896,"HGNC:26001"
"241",832,"HGNC:1491"
"242",440574,"HGNC:32068"
"243",4681,"HGNC:7650"
"244",3362,"HGNC:5301"
"245",255104,"HGNC:27393"
"246",54546,"HGNC:25978"
"247",23252,"HGNC:29038"
"248",30814,"HGNC:13414"
"249",5320,"HGNC:9031"
"250",5322,"HGNC:9038"
"251",26279,"HGNC:9033"
"252",64600,"HGNC:30040"
"253",391013,"HGNC:9032"
"254",127733,"HGNC:26354"
"255",127731,"HGNC:26538"
"256",55450,"HGNC:24190"
"257",79594,"HGNC:25762"
"258",163933,"HGNC:31791"
"259",978,"HGNC:1712"
"260",65018,"HGNC:14581"
"261",1650,"HGNC:2728"
"262",57576,"HGNC:19167"
"263",400745,"HGNC:28819"
"264",50809,"HGNC:24973"
"265",8672,"HGNC:3298"
"266",1889,"HGNC:3146"
"267",84224,"HGNC:25076"
"268",249,"HGNC:438"
"269",5909,"HGNC:9858"
"270",84196,"HGNC:18533"
"271",401944,"HGNC:32071"
"272",3339,"HGNC:5273"
"273",23436,"HGNC:15945"
"274",10136,"HGNC:15944"
"275",998,"HGNC:1736"
"276",54361,"HGNC:12783"
"277",9923,"HGNC:29045"
"278",2046,"HGNC:3391"
"279",712,"HGNC:1241"
"280",714,"HGNC:1245"
"281",713,"HGNC:1242"
"282",2048,"HGNC:3393"
"283",646262,"HGNC:35445"
"284",729059,"HGNC:44651"
"285",23028,"HGNC:29079"
"286",7798,"HGNC:14985"
"287",3352,"HGNC:5289"
"288",10236,"HGNC:5047"
"289",80818,"HGNC:20814"
"290",6920,"HGNC:11615"
"291",55616,"HGNC:14987"
"292",1870,"HGNC:3114"
"293",3399,"HGNC:5362"
"294",259283,"HGNC:29633"
"295",6135,"HGNC:10301"
"296",6924,"HGNC:11620"
"297",57095,"HGNC:25022"
"298",11313,"HGNC:6738"
"299",2582,"HGNC:4116"
"300",3155,"HGNC:5005"
"301",2517,"HGNC:4006"
"302",1269,"HGNC:2160"
"303",55629,"HGNC:23158"
"304",10772,"HGNC:16713"
"305",127294,"HGNC:26679"
"306",58985,"HGNC:13700"
"307",163702,"HGNC:18584"
"308",57822,"HGNC:25839"
"309",90529,"HGNC:28070"
"310",57185,"HGNC:25233"
"311",11123,"HGNC:3042"
"312",400746,"HGNC:29332"
"313",10250,"HGNC:16638"
"314",25932,"HGNC:13518"
"315",864,"HGNC:10473"
"316",25949,"HGNC:19824"
"317",57035,"HGNC:25234"
"318",6007,"HGNC:10009"
"319",23585,"HGNC:30590"
"320",6006,"HGNC:10008"
"321",55219,"HGNC:25572"
"322",26119,"HGNC:18640"
"323",57134,"HGNC:19080"
"324",57190,"HGNC:15999"
"325",56181,"HGNC:28836"
"326",79000,"HGNC:28363"
"327",164091,"HGNC:23146"
"328",3925,"HGNC:6510"
"329",5051,"HGNC:8579"
"330",2134,"HGNC:3515"
"331",7780,"HGNC:11013"
"332",84676,"HGNC:16007"
"333",149420,"HGNC:18981"
"334",79927,"HGNC:25860"
"335",51042,"HGNC:30943"
"336",10256,"HGNC:19700"
"337",378807,"HGNC:23220"
"338",64793,"HGNC:25309"
"339",83442,"HGNC:15568"
"340",91544,"HGNC:30600"
"341",1043,"HGNC:1804"
"342",55057,"HGNC:17295"
"343",257101,"HGNC:28495"
"344",79727,"HGNC:15986"
"345",79947,"HGNC:20603"
"346",3151,"HGNC:4986"
"347",6195,"HGNC:10430"
"348",8289,"HGNC:11110"
"349",55650,"HGNC:26031"
"350",84243,"HGNC:20712"
"351",2810,"HGNC:10773"
"352",54707,"HGNC:25513"
"353",63906,"HGNC:25720"
"354",10726,"HGNC:8045"
"355",8431,"HGNC:7961"
"356",126695,"HGNC:26624"
"357",388610,"HGNC:34348"
"358",115572,"HGNC:28273"
"359",6548,"HGNC:11071"
"360",23038,"HGNC:29175"
"361",84065,"HGNC:25363"
"362",84958,"HGNC:15584"
"363",9064,"HGNC:6858"
"364",8547,"HGNC:3625"
"365",388611,"HGNC:32043"
"366",2827,"HGNC:4484"
"367",10163,"HGNC:12733"
"368",27245,"HGNC:25230"
"369",2268,"HGNC:3697"
"370",2537,"HGNC:4054"
"371",199870,"HGNC:28530"
"372",23673,"HGNC:11430"
"373",5511,"HGNC:9296"
"374",9473,"HGNC:16839"
"375",6118,"HGNC:10290"
"376",27293,"HGNC:21416"
"377",55113,"HGNC:25508"
"378",2140,"HGNC:3521"
"379",5724,"HGNC:9582"
"380",22826,"HGNC:15470"
"381",93974,"HGNC:871"
"382",83667,"HGNC:20746"
"383",54797,"HGNC:25944"
"384",65979,"HGNC:25793"
"385",1104,"HGNC:1913"
"386",54952,"HGNC:30813"
"387",6883,"HGNC:11545"
"388",115273,"HGNC:28702"
"389",10691,"HGNC:4370"
"390",51441,"HGNC:31675"
"391",4985,"HGNC:8153"
"392",2035,"HGNC:3377"
"393",399474,"HGNC:33785"
"394",6429,"HGNC:10786"
"395",51102,"HGNC:19691"
"396",10076,"HGNC:9683"
"397",4146,"HGNC:6907"
"398",7805,"HGNC:29612"
"399",9672,"HGNC:10660"
"400",9698,"HGNC:14957"
"401",79570,"HGNC:25743"
"402",9410,"HGNC:30857"
"403",51538,"HGNC:30246"
"404",2170,"HGNC:3557"
"405",347735,"HGNC:23231"
"406",64129,"HGNC:19168"
"407",3061,"HGNC:4848"
"408",553115,"HGNC:30009"
"409",1307,"HGNC:2193"
"410",576,"HGNC:944"
"411",90853,"HGNC:26338"
"412",8073,"HGNC:9635"
"413",10657,"HGNC:18116"
"414",55116,"HGNC:25510"
"415",23633,"HGNC:6399"
"416",200081,"HGNC:30685"
"417",79140,"HGNC:28163"
"418",55721,"HGNC:25545"
"419",149069,"HGNC:32576"
"420",56063,"HGNC:28837"
"421",8668,"HGNC:3272"
"422",84734,"HGNC:28133"
"423",3932,"HGNC:6524"
"424",3065,"HGNC:4852"
"425",65108,"HGNC:7142"
"426",81629,"HGNC:15473"
"427",100128071,"HGNC:44652"
"428",55108,"HGNC:25501"
"429",728116,"HGNC:37057"
"430",653121,"HGNC:24172"
"431",339487,"HGNC:24094"
"432",5928,"HGNC:9887"
"433",81493,"HGNC:28897"
"434",57648,"HGNC:29301"
"435",8565,"HGNC:12840"
"436",64766,"HGNC:25768"
"437",252995,"HGNC:20240"
"438",3208,"HGNC:5144"
"439",113452,"HGNC:24143"
"440",127544,"HGNC:26886"
"441",204,"HGNC:362"
"442",113451,"HGNC:29957"
"443",55223,"HGNC:25574"
"444",149076,"HGNC:18079"
"445",127550,"HGNC:30005"
"446",1912,"HGNC:3183"
"447",7579,"HGNC:13093"
"448",114784,"HGNC:19290"
"449",127540,"HGNC:24954"
"450",84970,"HGNC:28250"
"451",113444,"HGNC:25154"
"452",2709,"HGNC:4287"
"453",127534,"HGNC:4286"
"454",2707,"HGNC:4285"
"455",2701,"HGNC:4278"
"456",58512,"HGNC:30368"
"457",100506144,"HGNC:40021"
"458",9204,"HGNC:13050"
"459",79830,"HGNC:26253"
"460",6421,"HGNC:10774"
"461",9202,"HGNC:13055"
"462",79932,"HGNC:30071"
"463",23154,"HGNC:17597"
"464",339488,"HGNC:30774"
"465",5690,"HGNC:9539"
"466",127703,"HGNC:26800"
"467",63967,"HGNC:19715"
"468",192670,"HGNC:18424"
"469",26523,"HGNC:3262"
"470",192669,"HGNC:18421"
"471",27285,"HGNC:11725"
"472",54936,"HGNC:21304"
"473",1296,"HGNC:2216"
"474",27095,"HGNC:19942"
"475",55700,"HGNC:25514"
"476",9967,"HGNC:22964"
"477",79729,"HGNC:26236"
"478",55194,"HGNC:25558"
"479",83931,"HGNC:21373"
"480",84967,"HGNC:17562"
"481",127700,"HGNC:29971"
"482",64960,"HGNC:14504"
"483",1441,"HGNC:2439"
"484",2899,"HGNC:4581"
"485",80149,"HGNC:26259"
"486",64769,"HGNC:25674"
"487",79753,"HGNC:30587"
"488",7802,"HGNC:14353"
"489",29889,"HGNC:29925"
"490",284654,"HGNC:21679"
"491",54955,"HGNC:26039"
"492",55143,"HGNC:14629"
"493",284656,"HGNC:19987"
"494",149175,"HGNC:26452"
"495",79693,"HGNC:28905"
"496",127687,"HGNC:24789"
"497",4520,"HGNC:7428"
"498",3633,"HGNC:6077"
"499",10946,"HGNC:10767"
"500",2275,"HGNC:3704"
"501",51118,"HGNC:24329"
"502",5453,"HGNC:9214"
"503",64121,"HGNC:19902"
"504",26292,"HGNC:7554"
"505",81025,"HGNC:19155"
"506",54933,"HGNC:16083"
"507",79647,"HGNC:25744"
"508",4725,"HGNC:7712"
"509",23499,"HGNC:13664"
"510",643314,"HGNC:29111"
"511",353500,"HGNC:21650"
"512",8761,"HGNC:8557"
"513",26508,"HGNC:4882"
"514",84618,"HGNC:17819"
"515",51440,"HGNC:18212"
"516",10450,"HGNC:9258"
"517",656,"HGNC:1075"
"518",64064,"HGNC:18606"
"519",54802,"HGNC:20286"
"520",4610,"HGNC:7555"
"521",84879,"HGNC:25897"
"522",10487,"HGNC:20040"
"523",5538,"HGNC:9325"
"524",6018,"HGNC:10025"
"525",127391,"HGNC:23312"
"526",10269,"HGNC:12877"
"527",1298,"HGNC:2218"
"528",64744,"HGNC:25082"
"529",65243,"HGNC:28053"
"530",339559,"HGNC:24708"
"531",64789,"HGNC:26115"
"532",127396,"HGNC:28418"
"533",9783,"HGNC:21292"
"534",4802,"HGNC:7806"
"535",9132,"HGNC:6298"
"536",163732,"HGNC:18696"
"537",1503,"HGNC:2519"
"538",200172,"HGNC:26313"
"539",22955,"HGNC:19003"
"540",100132074,"HGNC:24814"
"541",1907,"HGNC:3177"
"542",59269,"HGNC:13561"
"543",2981,"HGNC:4683"
"544",2980,"HGNC:4682"
"545",22887,"HGNC:29178"
"546",284716,"HGNC:28725"
"547",84217,"HGNC:21192"
"548",79717,"HGNC:25686"
"549",728621,"HGNC:26103"
"550",10465,"HGNC:14651"
"551",4904,"HGNC:8014"
"552",149461,"HGNC:2040"
"553",64175,"HGNC:19316"
"554",79078,"HGNC:28795"
"555",374969,"HGNC:29204"
"556",114625,"HGNC:15743"
"557",51058,"HGNC:28028"
"558",6513,"HGNC:11005"
"559",440585,"HGNC:34347"
"560",10969,"HGNC:15531"
"561",149465,"HGNC:26485"
"562",128218,"HGNC:28275"
"563",149466,"HGNC:28755"
"564",7075,"HGNC:11809"
"565",4352,"HGNC:7217"
"566",991,"HGNC:1723"
"567",64834,"HGNC:14418"
"568",112950,"HGNC:19971"
"569",23334,"HGNC:29040"
"570",81888,"HGNC:26948"
"571",5792,"HGNC:9670"
"572",9682,"HGNC:22978"
"573",6487,"HGNC:10866"
"574",9048,"HGNC:727"
"575",9670,"HGNC:16853"
"576",1802,"HGNC:3004"
"577",533,"HGNC:861"
"578",8704,"HGNC:925"
"579",149473,"HGNC:28688"
"580",6536,"HGNC:11056"
"581",128209,"HGNC:18830"
"582",55929,"HGNC:18291"
"583",79033,"HGNC:17276"
"584",55182,"HGNC:25552"
"585",79639,"HGNC:26186"
"586",339541,"HGNC:34345"
"587",11004,"HGNC:6393"
"588",6202,"HGNC:10441"
"589",266675,"HGNC:17106"
"590",1263,"HGNC:2154"
"591",343521,"HGNC:32315"
"592",149478,"HGNC:27145"
"593",8643,"HGNC:9586"
"594",8891,"HGNC:3259"
"595",79654,"HGNC:26117"
"596",7389,"HGNC:12591"
"597",57643,"HGNC:29299"
"598",84842,"HGNC:28242"
"599",4595,"HGNC:7527"
"600",114034,"HGNC:15954"
"601",10420,"HGNC:11732"
"602",126661,"HGNC:27003"
"603",25974,"HGNC:24525"
"604",5052,"HGNC:9352"
"605",10327,"HGNC:380"
"606",4678,"HGNC:7644"
"607",149483,"HGNC:26574"
"608",60313,"HGNC:28843"
"609",51249,"HGNC:28035"
"610",3652,"HGNC:6108"
"611",23139,"HGNC:19035"
"612",8503,"HGNC:8981"
"613",10103,"HGNC:20657"
"614",55624,"HGNC:19139"
"615",541468,"HGNC:32327"
"616",8438,"HGNC:9826"
"617",10489,"HGNC:16917"
"618",7388,"HGNC:12590"
"619",387338,"HGNC:31802"
"620",2166,"HGNC:3553"
"621",127343,"HGNC:19026"
"622",148930,"HGNC:26488"
"623",8569,"HGNC:7110"
"624",148932,"HGNC:29800"
"625",64756,"HGNC:18803"
"626",374973,"HGNC:29589"
"627",9813,"HGNC:29051"
"628",1580,"HGNC:2644"
"629",1579,"HGNC:2642"
"630",260293,"HGNC:20244"
"631",199974,"HGNC:20583"
"632",284541,"HGNC:20575"
"633",10158,"HGNC:16887"
"634",6886,"HGNC:11556"
"635",6491,"HGNC:10879"
"636",51727,"HGNC:18170"
"637",2301,"HGNC:3808"
"638",2306,"HGNC:3803"
"639",388630,"HGNC:44200"
"640",200010,"HGNC:22146"
"641",54558,"HGNC:18309"
"642",84871,"HGNC:25892"
"643",79656,"HGNC:25668"
"644",1996,"HGNC:3315"
"645",63950,"HGNC:13908"
"646",11124,"HGNC:3578"
"647",1031,"HGNC:1789"
"648",284546,"HGNC:28096"
"649",26994,"HGNC:10056"
"650",22996,"HGNC:18657"
"651",2060,"HGNC:3419"
"652",114883,"HGNC:16386"
"653",4898,"HGNC:7995"
"654",5865,"HGNC:9778"
"655",51060,"HGNC:24626"
"656",112970,"HGNC:25160"
"657",91408,"HGNC:30547"
"658",9372,"HGNC:6775"
"659",200014,"HGNC:29386"
"660",4998,"HGNC:8487"
"661",84950,"HGNC:25930"
"662",23318,"HGNC:28981"
"663",2882,"HGNC:4559"
"664",348378,"HGNC:28757"
"665",65260,"HGNC:25716"
"666",79699,"HGNC:25820"
"667",440590,"HGNC:32058"
"668",55268,"HGNC:23408"
"669",6342,"HGNC:10606"
"670",127435,"HGNC:23174"
"671",6512,"HGNC:10945"
"672",1376,"HGNC:2330"
"673",54987,"HGNC:26059"
"674",4116,"HGNC:6815"
"675",7804,"HGNC:6700"
"676",63948,"HGNC:13913"
"677",148979,"HGNC:29525"
"678",55706,"HGNC:25525"
"679",54432,"HGNC:25231"
"680",1733,"HGNC:2883"
"681",51668,"HGNC:25019"
"682",115353,"HGNC:28792"
"683",388633,"HGNC:32069"
"684",9528,"HGNC:1239"
"685",127428,"HGNC:26494"
"686",200008,"HGNC:27297"
"687",606495,"HGNC:32220"
"688",51253,"HGNC:14034"
"689",23648,"HGNC:15674"
"690",26027,"HGNC:18156"
"691",338094,"HGNC:25032"
"692",374977,"HGNC:24802"
"693",7268,"HGNC:12394"
"694",25973,"HGNC:30563"
"695",55001,"HGNC:26067"
"696",163747,"HGNC:26854"
"697",1718,"HGNC:2859"
"698",199964,"HGNC:27296"
"699",7809,"HGNC:16512"
"700",255738,"HGNC:20001"
"701",23358,"HGNC:12623"
"702",8613,"HGNC:9229"
"703",5563,"HGNC:9377"
"704",199920,"HGNC:27295"
"705",731,"HGNC:1352"
"706",732,"HGNC:1353"
"707",1600,"HGNC:2661"
"708",115209,"HGNC:29661"
"709",4070,"HGNC:11530"
"710",114803,"HGNC:29401"
"711",3725,"HGNC:6204"
"712",55277,"HGNC:25610"
"713",51361,"HGNC:19884"
"714",1573,"HGNC:2634"
"715",127795,"HGNC:28547"
"716",4774,"HGNC:7784"
"717",83941,"HGNC:24142"
"718",10207,"HGNC:28881"
"719",54596,"HGNC:25595"
"720",163782,"HGNC:27263"
"721",7398,"HGNC:12607"
"722",85440,"HGNC:19190"
"723",27329,"HGNC:491"
"724",84938,"HGNC:16040"
"725",27022,"HGNC:3804"
"726",29929,"HGNC:23157"
"727",23421,"HGNC:6157"
"728",84455,"HGNC:29379"
"729",5236,"HGNC:8905"
"730",4919,"HGNC:10256"
"731",148581,"HGNC:28559"
"732",57685,"HGNC:29314"
"733",55225,"HGNC:25577"
"734",3716,"HGNC:6190"
"735",205,"HGNC:363"
"736",9829,"HGNC:15469"
"737",3953,"HGNC:6554"
"738",54741,"HGNC:29477"
"739",5142,"HGNC:8781"
"740",84251,"HGNC:25412"
"741",200132,"HGNC:26882"
"742",10022,"HGNC:6088"
"743",79819,"HGNC:26252"
"744",57708,"HGNC:29657"
"745",23169,"HGNC:20800"
"746",400757,"HGNC:32044"
"747",149233,"HGNC:19100"
"748",3595,"HGNC:5972"
"749",26135,"HGNC:17860"
"750",1647,"HGNC:4095"
"751",55970,"HGNC:19663"
"752",9077,"HGNC:687"
"753",79971,"HGNC:30238"
"754",6121,"HGNC:10294"
"755",55635,"HGNC:22949"
"756",57554,"HGNC:18531"
"757",55631,"HGNC:26004"
"758",9295,"HGNC:10782"
"759",81573,"HGNC:25374"
"760",11147,"HGNC:4906"
"761",1491,"HGNC:2501"
"762",5733,"HGNC:9595"
"763",9406,"HGNC:13058"
"764",257194,"HGNC:17302"
"765",127255,"HGNC:28318"
"766",8790,"HGNC:3825"
"767",51086,"HGNC:19661"
"768",105378803,"HGNC:25255"
"769",127254,"HGNC:25346"
"770",1429,"HGNC:2419"
"771",127253,"HGNC:24757"
"772",431707,"HGNC:28838"
"773",204962,"HGNC:28524"
"774",34,"HGNC:89"
"775",5876,"HGNC:9796"
"776",4438,"HGNC:7327"
"777",127247,"HGNC:19769"
"778",256435,"HGNC:19343"
"779",81849,"HGNC:19342"
"780",10026,"HGNC:8965"
"781",26289,"HGNC:365"
"782",26009,"HGNC:24523"
"783",23032,"HGNC:20059"
"784",374986,"HGNC:24741"
"785",91624,"HGNC:29557"
"786",8880,"HGNC:4004"
"787",11080,"HGNC:14886"
"788",54810,"HGNC:18177"
"789",5737,"HGNC:9600"
"790",10964,"HGNC:17817"
"791",10561,"HGNC:16938"
"792",64123,"HGNC:20822"
"793",23266,"HGNC:18582"
"794",79739,"HGNC:26242"
"795",5567,"HGNC:9381"
"796",148418,"HGNC:24582"
"797",58511,"HGNC:28875"
"798",80135,"HGNC:30350"
"799",2787,"HGNC:4408"
"800",100505741,"HGNC:14682"
"801",1486,"HGNC:2496"
"802",117178,"HGNC:16509"
"803",23566,"HGNC:14298"
"804",255231,"HGNC:13357"
"805",126820,"HGNC:30711"
"806",55283,"HGNC:13358"
"807",84144,"HGNC:25841"
"808",148423,"HGNC:24871"
"809",8915,"HGNC:989"
"810",23576,"HGNC:2715"
"811",3491,"HGNC:2654"
"812",54680,"HGNC:26089"
"813",255631,"HGNC:20821"
"814",57489,"HGNC:29225"
"815",9635,"HGNC:2016"
"816",1179,"HGNC:2015"
"817",22802,"HGNC:2018"
"818",51100,"HGNC:10833"
"819",9403,"HGNC:17705"
"820",9653,"HGNC:5193"
"821",8543,"HGNC:6644"
"822",5586,"HGNC:9406"
"823",2959,"HGNC:4648"
"824",56267,"HGNC:33238"
"825",494115,"HGNC:25073"
"826",2635,"HGNC:4184"
"827",2633,"HGNC:4182"
"828",2634,"HGNC:4183"
"829",388646,"HGNC:29606"
"830",115361,"HGNC:20480"
"831",115362,"HGNC:19895"
"832",163351,"HGNC:25395"
"833",23507,"HGNC:30692"
"834",84230,"HGNC:25075"
"835",55144,"HGNC:16992"
"836",284695,"HGNC:14104"
"837",343472,"HGNC:954"
"838",84146,"HGNC:29222"
"839",164045,"HGNC:20193"
"840",8317,"HGNC:1745"
"841",7049,"HGNC:11774"
"842",676,"HGNC:1105"
"843",253152,"HGNC:23758"
"844",646817,"HGNC:42937"
"845",284697,"HGNC:21019"
"846",23285,"HGNC:29192"
"847",388649,"HGNC:24032"
"848",11146,"HGNC:14373"
"849",79871,"HGNC:25791"
"850",2672,"HGNC:4237"
"851",7813,"HGNC:3501"
"852",6125,"HGNC:10360"
"853",388650,"HGNC:32213"
"854",22823,"HGNC:29535"
"855",50999,"HGNC:24251"
"856",343099,"HGNC:30370"
"857",1810,"HGNC:3017"
"858",54874,"HGNC:20851"
"859",8412,"HGNC:973"
"860",30836,"HGNC:24013"
"861",2730,"HGNC:4312"
"862",24,"HGNC:34"
"863",9411,"HGNC:30207"
"864",5825,"HGNC:67"
"865",2152,"HGNC:3541"
"866",126969,"HGNC:28689"
"867",1266,"HGNC:2157"
"868",199857,"HGNC:28287"
"869",148534,"HGNC:26477"
"870",25950,"HGNC:21393"
"871",58155,"HGNC:17662"
"872",1806,"HGNC:3012"
"873",51375,"HGNC:14971"
"874",163404,"HGNC:31703"
"875",9890,"HGNC:23496"
