"","HGNC.ID"
"266","HGNC:25860"
"267","HGNC:30943"
"268","HGNC:19700"
"269","HGNC:23220"
"270","HGNC:25309"
"271","HGNC:15568"
"272","HGNC:30600"
"273","HGNC:1804"
"274","HGNC:17295"
"275","HGNC:28495"
"276","HGNC:15986"
"277","HGNC:4986"
"278","HGNC:10430"
"279","HGNC:20712"
"280","HGNC:10773"
"281","HGNC:25513"
"282","HGNC:25720"
"283","HGNC:8045"
"284","HGNC:34348"
"285","HGNC:28273"
"286","HGNC:29175"
"287","HGNC:25363"
"288","HGNC:15584"
"289","HGNC:6858"
"290","HGNC:32043"
"291","HGNC:4484"
"292","HGNC:12733"
"293","HGNC:3697"
"294","HGNC:4054"
"295","HGNC:28530"
"296","HGNC:11430"
"297","HGNC:9296"
"298","HGNC:16839"
"299","HGNC:10290"
"300","HGNC:21416"
"301","HGNC:25508"
"302","HGNC:3521"
"303","HGNC:9582"
"304","HGNC:15470"
"305","HGNC:871"
"306","HGNC:20746"
"307","HGNC:25944"
"308","HGNC:25793"
"309","HGNC:1913"
"310","HGNC:30813"
"311","HGNC:11545"
"312","HGNC:28702"
"313","HGNC:4370"
"314","HGNC:31675"
"315","HGNC:8153"
"316","HGNC:33785"
"317","HGNC:10786"
"318","HGNC:9683"
"319","HGNC:6907"
"320","HGNC:29612"
"321","HGNC:10660"
"322","HGNC:25743"
"323","HGNC:30857"
"324","HGNC:30246"
"325","HGNC:3557"
"326","HGNC:23231"
"327","HGNC:19168"
"328","HGNC:4848"
"329","HGNC:30009"
"330","HGNC:2193"
"331","HGNC:944"
"332","HGNC:26338"
"333","HGNC:9635"
"334","HGNC:18116"
"335","HGNC:25510"
"336","HGNC:6399"
"337","HGNC:30685"
"338","HGNC:28163"
"339","HGNC:25545"
"340","HGNC:32576"
"341","HGNC:28837"
"342","HGNC:3272"
"343","HGNC:28133"
"344","HGNC:4852"
"345","HGNC:7142"
"346","HGNC:15473"
"347","HGNC:44652"
"348","HGNC:25501"
"349","HGNC:37057"
"350","HGNC:24172"
"351","HGNC:24094"
"352","HGNC:9887"
"353","HGNC:28897"
"354","HGNC:29301"
"355","HGNC:25768"
"356","HGNC:20240"
"357","HGNC:24143"
"358","HGNC:26886"
"359","HGNC:29957"
"360","HGNC:25574"
"361","HGNC:18079"
"362","HGNC:30005"
"363","HGNC:3183"
"364","HGNC:13093"
"365","HGNC:19290"
"366","HGNC:24954"
"367","HGNC:28250"
"368","HGNC:25154"
"369","HGNC:4287"
"370","HGNC:4278"
"371","HGNC:30368"
"372","HGNC:40021"
"373","HGNC:13050"
"374","HGNC:26253"
"375","HGNC:10774"
"376","HGNC:13055"
"377","HGNC:17597"
"378","HGNC:30774"
"379","HGNC:9539"
"380","HGNC:26800"
"381","HGNC:19715"
"382","HGNC:18424"
"383","HGNC:3262"
"384","HGNC:18421"
"385","HGNC:11725"
"386","HGNC:21304"
"387","HGNC:19942"
"388","HGNC:25514"
"389","HGNC:22964"
"390","HGNC:26236"
"391","HGNC:25558"
"392","HGNC:21373"
"393","HGNC:17562"
"394","HGNC:29971"
"395","HGNC:14504"
"396","HGNC:4581"
"397","HGNC:26259"
"398","HGNC:25674"
"399","HGNC:14353"
"400","HGNC:29925"
"401","HGNC:26039"
"402","HGNC:14629"
"403","HGNC:19987"
"404","HGNC:26452"
"405","HGNC:28905"
"406","HGNC:24789"
"407","HGNC:7428"
"408","HGNC:6077"
"409","HGNC:10767"
"410","HGNC:3704"
"411","HGNC:24329"
"412","HGNC:9214"
"413","HGNC:19902"
"414","HGNC:7554"
"415","HGNC:19155"
"416","HGNC:16083"
"417","HGNC:25744"
"418","HGNC:7712"
"419","HGNC:13664"
"420","HGNC:29111"
"421","HGNC:21650"
"422","HGNC:8557"
"423","HGNC:4882"
"424","HGNC:17819"
"425","HGNC:18212"
"426","HGNC:9258"
"427","HGNC:1075"
"428","HGNC:18606"
"429","HGNC:7555"
"430","HGNC:20040"
"431","HGNC:10025"
"432","HGNC:23312"
"433","HGNC:25082"
"434","HGNC:28053"
"435","HGNC:24708"
"436","HGNC:26115"
"437","HGNC:28418"
"438","HGNC:21292"
"439","HGNC:7806"
"440","HGNC:18696"
"441","HGNC:26313"
"442","HGNC:19003"
"443","HGNC:24814"
"444","HGNC:3177"
"445","HGNC:13561"
"446","HGNC:4683"
"447","HGNC:4682"
"448","HGNC:29178"
"449","HGNC:28725"
"450","HGNC:21192"
"451","HGNC:26103"
"452","HGNC:14651"
"453","HGNC:8014"
"454","HGNC:28795"
"455","HGNC:29204"
"456","HGNC:15743"
"457","HGNC:28028"
"458","HGNC:34347"
"459","HGNC:15531"
"460","HGNC:26485"
"461","HGNC:28275"
"462","HGNC:28755"
"463","HGNC:11809"
"464","HGNC:1723"
"465","HGNC:14418"
"466","HGNC:19971"
"467","HGNC:26948"
"468","HGNC:22978"
"469","HGNC:727"
"470","HGNC:16853"
